Epoch,Box Loss,Class Loss,DFL Loss,mAP50,mAP50-95
1.0,0,0,0,0.18331,0.07641
2.0,0,0,0,0.33535,0.14462
3.0,0,0,0,0.59637,0.3302
4.0,0,0,0,0.87573,0.50108
5.0,0,0,0,0.92958,0.63712
6.0,0,0,0,0.94978,0.68116
7.0,0,0,0,0.93827,0.7277
8.0,0,0,0,0.93595,0.68173
9.0,0,0,0,0.95458,0.68192
10.0,0,0,0,0.96089,0.74918
11.0,0,0,0,0.9119,0.66131
12.0,0,0,0,0.87912,0.65778
13.0,0,0,0,0.96336,0.73776
14.0,0,0,0,0.94686,0.76668
15.0,0,0,0,0.95761,0.74562
16.0,0,0,0,0.95842,0.72441
17.0,0,0,0,0.96729,0.80077
18.0,0,0,0,0.97596,0.79526
19.0,0,0,0,0.96519,0.79571
20.0,0,0,0,0.95772,0.78701
21.0,0,0,0,0.96777,0.78707
22.0,0,0,0,0.95527,0.74681
23.0,0,0,0,0.95984,0.77733
24.0,0,0,0,0.96901,0.771
25.0,0,0,0,0.96245,0.80649
26.0,0,0,0,0.96825,0.7785
27.0,0,0,0,0.97597,0.79208
28.0,0,0,0,0.97904,0.80317
29.0,0,0,0,0.96419,0.7967
30.0,0,0,0,0.96883,0.81748
31.0,0,0,0,0.96823,0.80963
32.0,0,0,0,0.98049,0.81892
33.0,0,0,0,0.97636,0.79088
34.0,0,0,0,0.97696,0.8216
35.0,0,0,0,0.97128,0.79699
36.0,0,0,0,0.9769,0.81672
37.0,0,0,0,0.96488,0.79185
38.0,0,0,0,0.97318,0.81321
39.0,0,0,0,0.97111,0.82058
40.0,0,0,0,0.96428,0.8183
41.0,0,0,0,0.96952,0.80565
42.0,0,0,0,0.97552,0.80669
43.0,0,0,0,0.96428,0.80667
44.0,0,0,0,0.96233,0.80158
45.0,0,0,0,0.97482,0.82057
46.0,0,0,0,0.96351,0.82429
47.0,0,0,0,0.96436,0.81515
48.0,0,0,0,0.96313,0.82625
49.0,0,0,0,0.96246,0.82043
50.0,0,0,0,0.96182,0.81809
