epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6044,2.10025,1.7849,2.17526,0.80512,0.13924,0.18331,0.07641,3.16266,2.46093,3.32729,0.00052,0.00052,0.00052
2,54.2106,1.1885,0.9282,1.54394,0.63786,0.22785,0.33535,0.14462,2.40803,2.33866,2.82599,0.00103901,0.00103901,0.00103901
3,75.9067,1.00461,0.76329,1.38368,0.62726,0.4557,0.59637,0.3302,1.71989,1.72161,2.28721,0.00153664,0.00153664,0.00153664
4,96.5526,1.02237,0.75819,1.37133,0.89376,0.74543,0.87573,0.50108,1.58889,0.88983,1.78492,0.0018812,0.0018812,0.0018812
5,118.592,0.96396,0.74242,1.33991,0.88661,0.91139,0.92958,0.63712,1.09015,0.69583,1.48766,0.0018416,0.0018416,0.0018416
6,140.915,0.93988,0.69338,1.32626,0.95909,0.88608,0.94978,0.68116,1.02188,0.62153,1.44129,0.001802,0.001802,0.001802
7,161.842,0.9303,0.68575,1.3166,0.90252,0.94937,0.93827,0.7277,0.9176,0.61261,1.31472,0.0017624,0.0017624,0.0017624
8,183.803,0.92397,0.68563,1.31986,0.94611,0.91139,0.93595,0.68173,0.99081,0.63298,1.37683,0.0017228,0.0017228,0.0017228
9,205.612,0.86579,0.634,1.25907,0.89941,0.90546,0.95458,0.68192,0.95474,0.74301,1.38851,0.0016832,0.0016832,0.0016832
10,228.111,0.86079,0.63261,1.26327,0.94673,0.94937,0.96089,0.74918,0.8311,0.53614,1.29135,0.0016436,0.0016436,0.0016436
11,249.419,0.8383,0.60526,1.24374,0.94444,0.81013,0.9119,0.66131,1.00455,0.62042,1.37601,0.001604,0.001604,0.001604
12,269.805,0.85263,0.60917,1.23572,0.8581,0.84208,0.87912,0.65778,0.93994,0.6032,1.34619,0.0015644,0.0015644,0.0015644
13,289.786,0.83426,0.58835,1.22863,0.94622,0.92405,0.96336,0.73776,0.86622,0.51831,1.2872,0.0015248,0.0015248,0.0015248
14,312.59,0.8084,0.57624,1.22744,0.90178,0.94937,0.94686,0.76668,0.78349,0.58151,1.22317,0.0014852,0.0014852,0.0014852
15,332.403,0.79924,0.55976,1.22827,0.92539,0.97468,0.95761,0.74562,0.85516,0.48346,1.24715,0.0014456,0.0014456,0.0014456
16,353.558,0.80555,0.57194,1.2162,0.95675,0.92405,0.95842,0.72441,0.87697,0.49801,1.28209,0.001406,0.001406,0.001406
17,372.791,0.7862,0.55807,1.2192,0.96018,0.93671,0.96729,0.80077,0.73918,0.43935,1.1583,0.0013664,0.0013664,0.0013664
18,392.004,0.75849,0.52964,1.19417,0.94994,0.96084,0.97596,0.79526,0.77095,0.50852,1.18329,0.0013268,0.0013268,0.0013268
19,413.192,0.77988,0.54305,1.20011,0.94231,0.92405,0.96519,0.79571,0.78047,0.48388,1.19736,0.0012872,0.0012872,0.0012872
20,432.537,0.76436,0.52289,1.19157,0.96197,0.96067,0.95772,0.78701,0.74546,0.41345,1.16869,0.0012476,0.0012476,0.0012476
21,454.555,0.74375,0.50746,1.17034,0.97207,0.96203,0.96777,0.78707,0.75445,0.44815,1.17029,0.001208,0.001208,0.001208
22,474.186,0.76642,0.5215,1.18864,0.94649,0.89873,0.95527,0.74681,0.81136,0.49188,1.21386,0.0011684,0.0011684,0.0011684
23,493.991,0.73379,0.51855,1.16628,0.97347,0.96203,0.95984,0.77733,0.7657,0.45426,1.20795,0.0011288,0.0011288,0.0011288
24,515.429,0.73569,0.51014,1.17113,0.96249,0.97434,0.96901,0.771,0.81739,0.4254,1.22804,0.0010892,0.0010892,0.0010892
